id,ssn,name,address,mobile,email,role,rank,licence,registration_date
1,1008953349,Eyþór Óli Borgþórsson,Brunahani 31,8453474,kroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 17:27:37.492230
2,1008953349,Sigurgeir Jónasson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:07:34.815100
3,8884449999,Heiðar Sigurjónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:23:22.161232
4,9933883300,Gunnar Jónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:32:19.559319
5,1234567890,Ingimundur Jónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:45:18.095017
6,1234567890,Nonni Jónsson,Hverfisbar,8453474,eythoroli95@gmail.com,Pilot,Copilot,Jumbo201,2019-12-05 20:49:51.086720
7,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:53:38.540589
8,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:56:38.820206
9,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:56:49.565428
10,1234567891,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:58:04.131029
11,1234567892,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:58:11.842919
12,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:59:36.558634
13,4455668855,Guðbjörg Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 20:47:24.088806
14,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 20:50:43.229762
15,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 20:53:26.353725
16,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 20:57:01.798276
17,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:10:35.078320
18,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:14:40.445870
19,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:16:40.763428
20,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:17:53.497003
21,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:19:05.276348
22,4455668855,sissi Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:24:30.635954
23,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:26:36.929850
24,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:27:06.736664
25,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:28:03.141207
26,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:28:42.651977
27,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:29:17.263250
28,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:29:30.047248
29,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:29:45.553713
30,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:30:16.385379
31,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:32:08.246582
32,4455668855,aparassgat Helga,Hehe 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,,2019-12-06 21:33:26.406175
